transaction_id,timestamp,customer_id,store_location,product,category,quantity,unit_price,total_price
T665492,2023-11-22 14:00:00,2080,Al Barsha,Cold Brew,Beverage,1,16.0,16.0
T804314,2024-03-29 09:00:00,2546,Jumeirah Beach,Bagel - Plain,Food,1,10.0,10.0
T573417,2024-06-18 07:00:00,2330,Dubai Hills,Latte,Beverage,1,18.0,18.0
T454508,2023-08-13 17:00:00,1247,Ajman Downtown,Donut - Chocolate,Food,1,9.0,9.0
T717024,2023-12-05 02:00:00,1043,Fujairah Mall,Croissant,Food,1,11.0,11.0
T340062,2023-08-10 04:00:00,1451,Dubai Mall,Hot Coffee,Beverage,2,12.0,24.0
T639131,2023-08-18 08:00:00,1138,Marina Walk,Bagel - Cream Cheese,Food,1,12.0,12.0
T665427,2023-11-24 06:00:00,1487,Dubai Silicon Oasis,Latte,Beverage,1,18.0,18.0
T354801,2024-05-18 16:00:00,1270,Fujairah Mall,Muffin,Food,1,10.0,10.0
T198907,2023-11-07 23:00:00,2606,The Dubai Mall Zabeel,Cold Brew,Beverage,1,16.0,16.0
T531071,2024-04-15 03:00:00,1198,Yas Mall,Bagel - Cream Cheese,Food,1,12.0,12.0
T522179,2023-08-11 09:00:00,1956,Marina Walk,Hot Coffee,Beverage,1,12.0,12.0
T300896,2023-12-17 17:00:00,2491,Deira City Center,Hot Coffee,Beverage,3,12.0,36.0
T542374,2023-10-04 16:00:00,1389,Ras Al Khaimah Mall,Latte,Beverage,2,18.0,36.0
T179046,2023-12-18 12:00:00,1375,Dubai Silicon Oasis,Latte,Beverage,2,18.0,36.0
T783823,2023-08-04 12:00:00,1907,Ras Al Khaimah Mall,Hot Coffee,Beverage,2,12.0,24.0
T274389,2023-12-09 08:00:00,2107,Dubai Mall,Hot Coffee,Beverage,1,12.0,12.0
T520521,2023-11-23 22:00:00,1832,The Dubai Mall Zabeel,Latte,Beverage,2,18.0,36.0
T102260,2024-03-15 17:00:00,2848,Marina Walk,Donut - Glazed,Food,1,8.0,8.0
T543555,2024-01-11 17:00:00,1799,Dubai Silicon Oasis,Latte,Beverage,1,18.0,18.0
T299122,2023-10-14 16:00:00,2426,Ras Al Khaimah Mall,Latte,Beverage,1,18.0,18.0
T884309,2023-08-11 14:00:00,1607,Jumeirah Beach,Iced Coffee,Beverage,1,15.0,15.0
T627276,2024-05-21 11:00:00,1642,Marina Walk,Iced Coffee,Beverage,1,15.0,15.0
T632496,2023-08-08 19:00:00,2882,Dubai Marina Mall,Donut - Glazed,Food,1,8.0,8.0
T808011,2023-08-16 09:00:00,1164,Mall of the Emirates,Hot Coffee,Beverage,2,12.0,24.0
T697347,2023-09-20 20:00:00,2765,Ajman Downtown,Cold Brew,Beverage,1,16.0,16.0
T749468,2023-07-28 03:00:00,1504,Fujairah Mall,Muffin,Food,1,10.0,10.0
T431737,2024-06-21 21:00:00,1167,Yas Mall,Muffin,Food,1,10.0,10.0
T350280,2024-01-31 11:00:00,2914,Dubai Silicon Oasis,Donut - Chocolate,Food,1,9.0,9.0
T579434,2024-01-21 19:00:00,1543,Mirdif City Center,Donut - Glazed,Food,2,8.0,16.0
T751332,2024-05-08 20:00:00,1647,Abu Dhabi Corniche,Iced Coffee,Beverage,1,15.0,15.0
T630458,2023-11-23 12:00:00,2153,Sharjah City Center,Hot Coffee,Beverage,3,12.0,36.0
T356150,2023-08-16 23:00:00,1543,Al Ain Town Center,Bagel - Cream Cheese,Food,2,12.0,24.0
T974244,2024-04-25 03:00:00,1756,Business Bay,Donut - Glazed,Food,1,8.0,8.0
T108203,2024-06-26 02:00:00,2112,Business Bay,Muffin,Food,1,10.0,10.0
T240814,2023-09-09 17:00:00,2367,Ras Al Khaimah Mall,Bagel - Plain,Food,2,10.0,20.0
T385577,2023-10-15 02:00:00,1541,Sharjah City Center,Hot Coffee,Beverage,2,12.0,24.0
T313487,2024-02-20 01:00:00,1577,Al Barsha,Donut - Chocolate,Food,2,9.0,18.0
T363319,2024-05-29 12:00:00,2407,Dubai Silicon Oasis,Croissant,Food,2,11.0,22.0
T969634,2024-04-15 03:00:00,2854,Marina Walk,Hot Coffee,Beverage,1,12.0,12.0
T908577,2024-02-13 16:00:00,1566,Marina Walk,Iced Coffee,Beverage,1,15.0,15.0
T678478,2024-04-27 15:00:00,1267,Dubai Silicon Oasis,Donut - Glazed,Food,1,8.0,8.0
T217308,2023-07-07 14:00:00,2445,Yas Mall,Croissant,Food,2,11.0,22.0
T975136,2023-07-25 14:00:00,1154,Al Ain Town Center,Croissant,Food,1,11.0,11.0
T550664,2023-10-10 02:00:00,1756,Fujairah Mall,Croissant,Food,1,11.0,11.0
T934794,2024-03-05 22:00:00,1261,Marina Walk,Bagel - Plain,Food,1,10.0,10.0
T815198,2023-11-21 09:00:00,2991,Marina Walk,Bagel - Cream Cheese,Food,1,12.0,12.0
T750810,2024-04-03 10:00:00,1511,Sharjah City Center,Bagel - Cream Cheese,Food,1,12.0,12.0
T938742,2023-10-19 22:00:00,2534,Al Ain Town Center,Donut - Chocolate,Food,2,9.0,18.0
T288073,2023-07-17 22:00:00,2660,Mall of the Emirates,Cold Brew,Beverage,1,16.0,16.0
T379766,2023-12-17 09:00:00,2508,Deira City Center,Cold Brew,Beverage,2,16.0,32.0
T593554,2023-07-27 10:00:00,1326,Sharjah City Center,Cold Brew,Beverage,1,16.0,16.0
T420015,2024-02-24 16:00:00,1455,Jumeirah Beach,Latte,Beverage,1,18.0,18.0
T792094,2023-07-17 03:00:00,2680,Ajman Downtown,Donut - Chocolate,Food,2,9.0,18.0
T172792,2024-01-07 04:00:00,1395,Mirdif City Center,Bagel - Cream Cheese,Food,2,12.0,24.0
T519093,2024-06-12 18:00:00,2980,Dubai Silicon Oasis,Bagel - Cream Cheese,Food,1,12.0,12.0
T220944,2023-07-19 20:00:00,2391,Ras Al Khaimah Mall,Bagel - Cream Cheese,Food,2,12.0,24.0
T140115,2023-12-29 05:00:00,2796,Dubai Silicon Oasis,Donut - Glazed,Food,1,8.0,8.0
T863934,2024-02-21 23:00:00,1222,Al Barsha,Cold Brew,Beverage,1,16.0,16.0
T221263,2024-06-14 03:00:00,2610,Deira City Center,Cold Brew,Beverage,1,16.0,16.0
T146542,2023-12-21 21:00:00,1788,Fujairah Mall,Donut - Chocolate,Food,1,9.0,9.0
T945687,2024-06-19 22:00:00,2451,Yas Mall,Iced Coffee,Beverage,1,15.0,15.0
T173372,2024-04-20 10:00:00,2102,Jumeirah Beach,Bagel - Cream Cheese,Food,1,12.0,12.0
T795612,2024-01-31 07:00:00,2943,Deira City Center,Muffin,Food,1,10.0,10.0
T424308,2024-06-11 04:00:00,2736,Sharjah City Center,Bagel - Plain,Food,1,10.0,10.0
T831076,2024-03-31 16:00:00,2365,Yas Mall,Bagel - Cream Cheese,Food,1,12.0,12.0
T540869,2023-11-08 23:00:00,1605,Ras Al Khaimah Mall,Donut - Glazed,Food,2,8.0,16.0
T525800,2024-01-22 10:00:00,2361,Mirdif City Center,Donut - Glazed,Food,1,8.0,8.0
T320392,2024-01-12 20:00:00,2122,Dubai Mall,Bagel - Plain,Food,1,10.0,10.0
T587575,2024-02-05 23:00:00,1880,Fujairah Mall,Muffin,Food,2,10.0,20.0
T596171,2024-06-13 23:00:00,1904,Al Wahda Mall,Donut - Chocolate,Food,1,9.0,9.0
T640490,2024-01-10 17:00:00,2625,Mall of the Emirates,Hot Coffee,Beverage,1,12.0,12.0
T958179,2023-09-02 18:00:00,2359,Al Barsha,Bagel - Cream Cheese,Food,1,12.0,12.0
T945742,2023-12-01 08:00:00,2949,Ajman Downtown,Bagel - Plain,Food,1,10.0,10.0
T356736,2023-08-01 13:00:00,1407,Al Ain Town Center,Iced Coffee,Beverage,2,15.0,30.0
T534572,2024-05-06 21:00:00,1973,Al Barsha,Hot Coffee,Beverage,2,12.0,24.0
T618392,2024-03-19 03:00:00,2814,Fujairah Mall,Donut - Chocolate,Food,1,9.0,9.0
T887443,2023-07-04 18:00:00,1818,Ajman Downtown,Donut - Glazed,Food,2,8.0,16.0
T284430,2023-11-27 09:00:00,2762,Sharjah City Center,Cold Brew,Beverage,2,16.0,32.0
T684482,2023-08-04 06:00:00,2646,Dubai Marina Mall,Latte,Beverage,1,18.0,18.0
T940346,2023-09-30 00:00:00,1510,Sharjah City Center,Latte,Beverage,2,18.0,36.0
T891937,2024-02-02 14:00:00,1951,Dubai Marina Mall,Croissant,Food,1,11.0,11.0
T547470,2024-06-09 14:00:00,2825,Al Wahda Mall,Muffin,Food,2,10.0,20.0
T879779,2023-10-17 15:00:00,2701,Ras Al Khaimah Mall,Latte,Beverage,2,18.0,36.0
T888295,2023-12-24 22:00:00,2764,The Dubai Mall Zabeel,Latte,Beverage,1,18.0,18.0
T757193,2024-05-26 19:00:00,1506,Dubai Silicon Oasis,Croissant,Food,1,11.0,11.0
T848206,2023-08-22 21:00:00,1489,Dubai Silicon Oasis,Latte,Beverage,1,18.0,18.0
T435239,2024-02-15 06:00:00,1585,Ajman Downtown,Bagel - Plain,Food,1,10.0,10.0
T258157,2023-10-03 11:00:00,2828,Ras Al Khaimah Mall,Hot Coffee,Beverage,2,12.0,24.0
T167348,2023-11-24 01:00:00,1473,Mirdif City Center,Donut - Glazed,Food,2,8.0,16.0
T535970,2024-05-14 01:00:00,1849,Yas Mall,Bagel - Cream Cheese,Food,1,12.0,12.0
T907189,2024-03-22 21:00:00,1127,Jumeirah Beach,Cold Brew,Beverage,1,16.0,16.0
T600149,2024-03-16 16:00:00,2196,Dubai Mall,Muffin,Food,1,10.0,10.0
T994905,2024-03-23 05:00:00,1012,Dubai Hills,Bagel - Plain,Food,1,10.0,10.0
T611945,2023-11-28 13:00:00,2826,Yas Mall,Croissant,Food,1,11.0,11.0
T130434,2024-05-27 12:00:00,1449,Dubai Silicon Oasis,Cold Brew,Beverage,1,16.0,16.0
T981334,2023-10-21 16:00:00,1796,Deira City Center,Cold Brew,Beverage,2,16.0,32.0
T128276,2024-06-29 15:00:00,1957,Al Ain Town Center,Muffin,Food,1,10.0,10.0
T188025,2023-07-19 12:00:00,2857,Mirdif City Center,Muffin,Food,1,10.0,10.0
T290556,2024-05-11 04:00:00,2316,Yas Mall,Donut - Glazed,Food,2,8.0,16.0
T321941,2024-02-09 11:00:00,1102,Dubai Silicon Oasis,Cold Brew,Beverage,1,16.0,16.0
T391773,2024-03-15 19:00:00,1931,Deira City Center,Bagel - Cream Cheese,Food,3,12.0,36.0
T593152,2023-08-25 21:00:00,2540,Yas Mall,Bagel - Plain,Food,3,10.0,30.0
T335113,2024-02-24 21:00:00,1039,Ras Al Khaimah Mall,Iced Coffee,Beverage,1,15.0,15.0
T359295,2023-07-22 04:00:00,2331,Abu Dhabi Corniche,Iced Coffee,Beverage,1,15.0,15.0
T350132,2023-10-13 00:00:00,1408,Dubai Mall,Muffin,Food,1,10.0,10.0
T587623,2023-11-26 19:00:00,1258,The Dubai Mall Zabeel,Hot Coffee,Beverage,1,12.0,12.0
T735324,2023-10-23 13:00:00,2432,Dubai Silicon Oasis,Bagel - Cream Cheese,Food,1,12.0,12.0
T213349,2024-01-29 08:00:00,2243,Sharjah City Center,Donut - Glazed,Food,1,8.0,8.0
T515922,2024-03-13 05:00:00,2185,Dubai Mall,Bagel - Plain,Food,1,10.0,10.0
T206851,2023-12-13 18:00:00,2928,Jumeirah Beach,Hot Coffee,Beverage,1,12.0,12.0
T934904,2023-09-21 15:00:00,2427,Business Bay,Muffin,Food,1,10.0,10.0
T549186,2024-06-28 16:00:00,2159,Marina Walk,Bagel - Cream Cheese,Food,2,12.0,24.0
T778998,2024-06-10 09:00:00,2354,Dubai Hills,Hot Coffee,Beverage,1,12.0,12.0
T210665,2024-05-30 15:00:00,1698,Dubai Mall,Cold Brew,Beverage,1,16.0,16.0
T556641,2023-10-13 10:00:00,1887,Dubai Hills,Latte,Beverage,1,18.0,18.0
T587455,2024-05-26 01:00:00,1360,Dubai Marina Mall,Bagel - Plain,Food,3,10.0,30.0
T993085,2024-02-06 00:00:00,1892,Fujairah Mall,Bagel - Plain,Food,1,10.0,10.0
T355709,2024-05-03 17:00:00,1502,Abu Dhabi Corniche,Bagel - Plain,Food,1,10.0,10.0
T452737,2024-03-15 17:00:00,2536,Al Wahda Mall,Muffin,Food,2,10.0,20.0
T611233,2023-11-02 03:00:00,1058,The Dubai Mall Zabeel,Bagel - Cream Cheese,Food,1,12.0,12.0
T393243,2024-02-18 08:00:00,1434,Dubai Hills,Bagel - Plain,Food,2,10.0,20.0
T641722,2023-07-07 22:00:00,2802,Al Barsha,Bagel - Plain,Food,1,10.0,10.0
T855053,2023-12-12 18:00:00,2941,Jumeirah Beach,Hot Coffee,Beverage,1,12.0,12.0
T824156,2023-12-12 01:00:00,1832,The Dubai Mall Zabeel,Croissant,Food,1,11.0,11.0
T197573,2023-07-12 18:00:00,1975,The Dubai Mall Zabeel,Latte,Beverage,1,18.0,18.0
T421080,2023-12-14 02:00:00,1602,Ajman Downtown,Cold Brew,Beverage,1,16.0,16.0
T680358,2024-05-19 01:00:00,2359,Fujairah Mall,Bagel - Cream Cheese,Food,2,12.0,24.0
T468900,2024-02-11 19:00:00,2087,Dubai Hills,Cold Brew,Beverage,1,16.0,16.0
T363615,2024-01-26 07:00:00,2439,Al Wahda Mall,Bagel - Plain,Food,1,10.0,10.0
T225362,2024-02-01 09:00:00,1472,Sharjah City Center,Donut - Chocolate,Food,1,9.0,9.0
T326895,2023-11-08 18:00:00,2521,Ras Al Khaimah Mall,Donut - Glazed,Food,1,8.0,8.0
T725780,2024-06-23 03:00:00,2512,The Dubai Mall Zabeel,Bagel - Plain,Food,1,10.0,10.0
T338533,2024-01-19 05:00:00,1579,Sharjah City Center,Donut - Chocolate,Food,1,9.0,9.0
T842411,2023-07-10 15:00:00,1739,Mall of the Emirates,Bagel - Plain,Food,1,10.0,10.0
T157174,2023-08-01 01:00:00,2093,Al Ain Town Center,Bagel - Plain,Food,1,10.0,10.0
T207570,2024-05-31 02:00:00,2133,Business Bay,Donut - Glazed,Food,1,8.0,8.0
T592198,2024-01-11 02:00:00,2787,Dubai Mall,Muffin,Food,1,10.0,10.0
T153872,2023-11-03 20:00:00,1980,Al Wahda Mall,Bagel - Cream Cheese,Food,1,12.0,12.0
T520172,2023-08-14 14:00:00,1517,The Dubai Mall Zabeel,Hot Coffee,Beverage,1,12.0,12.0
T259097,2023-08-06 14:00:00,2007,Abu Dhabi Corniche,Muffin,Food,2,10.0,20.0
T360247,2023-08-28 03:00:00,1305,Fujairah Mall,Bagel - Plain,Food,1,10.0,10.0
T913373,2023-12-02 01:00:00,1242,Ras Al Khaimah Mall,Cold Brew,Beverage,1,16.0,16.0
T411797,2024-04-28 05:00:00,2070,Mirdif City Center,Latte,Beverage,1,18.0,18.0
T696251,2024-01-25 11:00:00,2761,Fujairah Mall,Cold Brew,Beverage,2,16.0,32.0
T899787,2023-09-06 17:00:00,2271,Marina Walk,Muffin,Food,2,10.0,20.0
T264686,2023-08-25 10:00:00,1425,Jumeirah Beach,Bagel - Plain,Food,1,10.0,10.0
T264136,2023-08-21 05:00:00,1491,Mall of the Emirates,Croissant,Food,1,11.0,11.0
T405407,2024-05-16 19:00:00,1005,Yas Mall,Latte,Beverage,2,18.0,36.0
T837135,2024-01-10 00:00:00,1066,Ajman Downtown,Bagel - Plain,Food,1,10.0,10.0
T377405,2023-12-07 08:00:00,2760,Al Wahda Mall,Hot Coffee,Beverage,1,12.0,12.0
T220351,2024-04-16 05:00:00,2613,Fujairah Mall,Donut - Chocolate,Food,1,9.0,9.0
T966785,2023-12-29 08:00:00,2115,Ajman Downtown,Donut - Glazed,Food,1,8.0,8.0
T931131,2023-10-22 06:00:00,1291,Abu Dhabi Corniche,Iced Coffee,Beverage,2,15.0,30.0
T560485,2024-01-14 00:00:00,1629,Al Barsha,Muffin,Food,2,10.0,20.0
T385470,2024-03-31 18:00:00,1254,Al Wahda Mall,Bagel - Plain,Food,1,10.0,10.0
T184349,2024-04-24 20:00:00,2024,Ras Al Khaimah Mall,Latte,Beverage,1,18.0,18.0
T733039,2024-02-06 00:00:00,2224,Marina Walk,Cold Brew,Beverage,1,16.0,16.0
T807053,2023-12-04 06:00:00,1512,Dubai Mall,Hot Coffee,Beverage,2,12.0,24.0
T901909,2023-07-15 03:00:00,2712,Fujairah Mall,Muffin,Food,2,10.0,20.0
T900177,2023-07-28 11:00:00,2376,Dubai Silicon Oasis,Muffin,Food,2,10.0,20.0
T783157,2024-06-19 06:00:00,2548,Mall of the Emirates,Latte,Beverage,2,18.0,36.0
T765620,2024-04-23 13:00:00,1905,Dubai Silicon Oasis,Donut - Glazed,Food,1,8.0,8.0
T464863,2024-05-16 20:00:00,2667,The Dubai Mall Zabeel,Hot Coffee,Beverage,1,12.0,12.0
T999398,2023-09-10 09:00:00,1836,Deira City Center,Bagel - Cream Cheese,Food,1,12.0,12.0
T402218,2024-06-03 05:00:00,1329,Deira City Center,Cold Brew,Beverage,2,16.0,32.0
T576919,2023-07-26 01:00:00,2356,Mirdif City Center,Croissant,Food,1,11.0,11.0
T221552,2024-02-06 16:00:00,1180,Deira City Center,Bagel - Plain,Food,1,10.0,10.0
T789606,2023-07-01 18:00:00,2986,Mirdif City Center,Croissant,Food,1,11.0,11.0
T156837,2024-04-08 02:00:00,2780,Ras Al Khaimah Mall,Latte,Beverage,1,18.0,18.0
T755788,2024-06-05 07:00:00,1384,Dubai Marina Mall,Bagel - Cream Cheese,Food,1,12.0,12.0
T675898,2023-12-30 07:00:00,1905,Marina Walk,Donut - Chocolate,Food,1,9.0,9.0
T227324,2024-05-26 21:00:00,1268,Business Bay,Latte,Beverage,1,18.0,18.0
T425845,2023-10-17 02:00:00,1059,Al Barsha,Donut - Chocolate,Food,1,9.0,9.0
T197736,2024-04-04 12:00:00,2128,Dubai Mall,Croissant,Food,1,11.0,11.0
T779172,2023-09-19 04:00:00,1460,Sharjah City Center,Latte,Beverage,1,18.0,18.0
T633590,2024-01-16 05:00:00,2704,Al Ain Town Center,Latte,Beverage,2,18.0,36.0
T595158,2024-05-25 09:00:00,2444,Dubai Silicon Oasis,Cold Brew,Beverage,1,16.0,16.0
T502219,2023-10-07 17:00:00,1499,Al Wahda Mall,Croissant,Food,1,11.0,11.0
T173201,2023-10-02 04:00:00,1390,Al Barsha,Croissant,Food,2,11.0,22.0
T380150,2024-06-11 14:00:00,1565,Yas Mall,Bagel - Cream Cheese,Food,1,12.0,12.0
T978157,2024-01-20 19:00:00,2680,Dubai Mall,Bagel - Plain,Food,2,10.0,20.0
T568238,2023-10-10 10:00:00,2202,Fujairah Mall,Latte,Beverage,1,18.0,18.0
T678727,2024-02-12 22:00:00,2103,The Dubai Mall Zabeel,Bagel - Cream Cheese,Food,1,12.0,12.0
T437408,2024-05-06 20:00:00,2562,Ras Al Khaimah Mall,Cold Brew,Beverage,1,16.0,16.0
T344907,2024-03-18 10:00:00,2780,Jumeirah Beach,Donut - Chocolate,Food,1,9.0,9.0
T880879,2024-02-03 05:00:00,2753,Yas Mall,Iced Coffee,Beverage,1,15.0,15.0
T619389,2023-10-12 20:00:00,1968,Mirdif City Center,Cold Brew,Beverage,1,16.0,16.0
T718849,2024-06-07 21:00:00,2975,Marina Walk,Donut - Glazed,Food,3,8.0,24.0
T651499,2023-09-07 01:00:00,1679,Sharjah City Center,Latte,Beverage,1,18.0,18.0
T529893,2023-10-07 09:00:00,2864,Al Wahda Mall,Iced Coffee,Beverage,2,15.0,30.0
T919488,2024-05-16 12:00:00,2783,Al Ain Town Center,Hot Coffee,Beverage,1,12.0,12.0
T781403,2024-03-28 08:00:00,2984,Dubai Silicon Oasis,Bagel - Cream Cheese,Food,2,12.0,24.0
T432043,2024-03-16 10:00:00,1164,Deira City Center,Croissant,Food,1,11.0,11.0
T747453,2023-07-25 12:00:00,2283,The Dubai Mall Zabeel,Croissant,Food,1,11.0,11.0
T883041,2023-12-03 07:00:00,1140,Ajman Downtown,Bagel - Plain,Food,1,10.0,10.0
T565230,2023-09-07 14:00:00,1185,Yas Mall,Hot Coffee,Beverage,1,12.0,12.0
T440131,2023-08-01 09:00:00,1340,Business Bay,Iced Coffee,Beverage,2,15.0,30.0
T493049,2024-03-01 17:00:00,2630,Marina Walk,Bagel - Plain,Food,1,10.0,10.0
T532067,2024-06-27 14:00:00,1882,Al Ain Town Center,Donut - Chocolate,Food,1,9.0,9.0
T182804,2023-10-28 12:00:00,2159,Mall of the Emirates,Donut - Glazed,Food,1,8.0,8.0
T621841,2023-12-12 09:00:00,2248,Mirdif City Center,Muffin,Food,1,10.0,10.0
T583550,2023-12-06 12:00:00,2869,Fujairah Mall,Donut - Glazed,Food,2,8.0,16.0
T799233,2023-12-22 07:00:00,2306,Dubai Silicon Oasis,Latte,Beverage,3,18.0,54.0
T177449,2023-10-16 20:00:00,1019,Al Wahda Mall,Bagel - Plain,Food,2,10.0,20.0
T769975,2024-01-21 05:00:00,1904,Dubai Hills,Muffin,Food,1,10.0,10.0
T986365,2024-05-07 20:00:00,2970,Yas Mall,Bagel - Plain,Food,1,10.0,10.0
T211834,2024-05-25 20:00:00,1618,Jumeirah Beach,Cold Brew,Beverage,2,16.0,32.0
T702733,2024-03-02 01:00:00,1485,Mirdif City Center,Muffin,Food,1,10.0,10.0
T387813,2024-03-27 04:00:00,1605,Business Bay,Iced Coffee,Beverage,3,15.0,45.0
T973294,2024-06-04 02:00:00,1016,Fujairah Mall,Iced Coffee,Beverage,3,15.0,45.0
T329642,2024-02-26 12:00:00,2851,Business Bay,Donut - Chocolate,Food,2,9.0,18.0
T810687,2023-12-19 02:00:00,2303,Jumeirah Beach,Muffin,Food,1,10.0,10.0
T423939,2023-07-27 21:00:00,2547,Al Ain Town Center,Hot Coffee,Beverage,1,12.0,12.0
T867934,2024-03-06 01:00:00,2615,Al Wahda Mall,Iced Coffee,Beverage,2,15.0,30.0
T883790,2024-02-09 00:00:00,1269,Abu Dhabi Corniche,Bagel - Plain,Food,1,10.0,10.0
T924718,2023-09-29 05:00:00,1850,Mall of the Emirates,Donut - Chocolate,Food,1,9.0,9.0
T385765,2024-06-07 13:00:00,2104,Dubai Hills,Croissant,Food,1,11.0,11.0
T945664,2024-05-24 22:00:00,2700,Mall of the Emirates,Bagel - Plain,Food,2,10.0,20.0
T178957,2024-05-15 17:00:00,1604,Deira City Center,Hot Coffee,Beverage,1,12.0,12.0
T194689,2024-03-06 16:00:00,1288,Ajman Downtown,Cold Brew,Beverage,1,16.0,16.0
T662636,2023-12-28 12:00:00,2619,Mirdif City Center,Iced Coffee,Beverage,1,15.0,15.0
T712955,2023-12-26 23:00:00,1253,Al Wahda Mall,Bagel - Cream Cheese,Food,1,12.0,12.0
T594379,2023-12-07 14:00:00,1780,Dubai Hills,Hot Coffee,Beverage,3,12.0,36.0
T739717,2024-02-09 22:00:00,1051,Al Barsha,Croissant,Food,1,11.0,11.0
T780776,2024-01-23 07:00:00,1453,Abu Dhabi Corniche,Latte,Beverage,1,18.0,18.0
T139019,2023-07-31 22:00:00,1836,Sharjah City Center,Donut - Glazed,Food,2,8.0,16.0
T346205,2023-09-05 08:00:00,1623,The Dubai Mall Zabeel,Hot Coffee,Beverage,2,12.0,24.0
T575679,2024-03-22 07:00:00,2817,Ras Al Khaimah Mall,Donut - Glazed,Food,1,8.0,8.0
T535037,2023-10-14 11:00:00,1759,Ras Al Khaimah Mall,Cold Brew,Beverage,2,16.0,32.0
T393328,2024-04-04 14:00:00,2341,Sharjah City Center,Latte,Beverage,1,18.0,18.0
T566297,2024-04-28 16:00:00,1067,Dubai Hills,Donut - Chocolate,Food,1,9.0,9.0
T818987,2023-09-06 19:00:00,2946,Ajman Downtown,Bagel - Cream Cheese,Food,2,12.0,24.0
